entity_type,entity_name,entity_variant,role,event_count,paper_count,original_variants,domain_id,domain_name,overlay_id,first_seen,last_seen
target,AMPK,protein,primary,3,3,AMPK,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:42:57Z,2026-01-23T12:51:44Z
pathway,Ras,pathway,primary,3,2,Ras,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:42:28Z,2026-01-23T12:45:05Z
target,PHOSPHATASE,protein,primary,3,2,PHOSPHATASE,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:36:25Z,2026-01-23T12:42:36Z
model,Culture medium,unknown,primary,3,2,Culture medium,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:41:26Z,2026-01-23T12:48:27Z
target,TNFA,protein,primary,3,2,TNFA,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:22:49Z,2026-01-23T12:41:58Z
indication,bacterial infection,disease,primary,3,2,bacterial infection,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:35:51Z,2026-01-23T12:48:25Z
assay,confocal microscopy,assay,primary,3,2,confocal microscopy,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:43:03Z,2026-01-23T12:44:18Z
target,ION CHANNEL,protein,primary,3,3,ION CHANNEL,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:39:47Z,2026-01-23T12:42:25Z
assay,SEC,assay,primary,3,3,SEC,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:29:48Z,2026-01-23T12:42:02Z
compound,RITUXIMAB,drug,primary,3,2,RITUXIMAB,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:36:11Z,2026-01-23T12:36:44Z
model,Fibroblasts,unknown,primary,3,1,Fibroblasts,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:23:01Z,2026-01-23T12:23:15Z
target,PPARΓ,protein,primary,3,3,PPARΓ,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:36:08Z,2026-01-23T12:48:55Z
target,IL1B,protein,primary,3,2,IL1B,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:41:58Z,2026-01-23T12:49:19Z
target,TRYPSIN,protein,primary,3,3,TRYPSIN,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:46:44Z,2026-01-23T12:49:21Z
model,Neurobasal,unknown,primary,3,2,Neurobasal,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:28:05Z,2026-01-23T12:43:16Z
assay,RNA-seq,assay,primary,2,2,RNA-seq,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:45:15Z,2026-01-23T12:49:08Z
assay,radioligand binding,assay,primary,2,1,radioligand binding,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:49:33Z,2026-01-23T12:49:36Z
indication,anemia,disease,primary,2,1,anemia,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:42:52Z,2026-01-23T12:42:57Z
neural_cell,neural progenitor,cell_type,primary,2,2,neural progenitor,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:23:00Z,2026-01-23T12:33:18Z
target,ERK,protein,primary,2,2,ERK,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:36:13Z,2026-01-23T12:42:43Z
