entity_name,entity_type,entity_variant,event_count,science_research_v1_score,science_research_v1_bucket,biohacking_curiosity_v1_score,biohacking_curiosity_v1_bucket
relativerisk,peptide,,1,1.00,deprioritized,1.00,deprioritized
nrf-2,target,protein,1,1.00,deprioritized,1.00,deprioritized
dexamethasone,compound,drug,3,3.47,stalled,8.27,strong
rituximab,compound,drug,3,2.00,stalled,6.00,promising
organoid,model,,452,971.67,strong,485.42,exploratory
hsp70,target,protein,4,6.17,promising,4.67,exploratory
gpcr,target,protein,1,1.00,deprioritized,1.00,deprioritized
hippocampal neuron,neural_cell,cell_type,1,1.50,deprioritized,0.00,deprioritized
covid-19,indication,disease,4,12.80,strong,13.30,strong
cerebrospinal fluid,model,unknown,14,38.36,strong,18.82,promising
biopsy,model,unknown,1,3.05,stalled,1.52,deprioritized
oligodendrocyte,neural_cell,cell_type,3,3.95,stalled,3.95,stalled
cyclin,pathway,pathway,8,18.76,strong,9.82,promising
cdk,pathway,pathway,1,2.00,stalled,1.00,deprioritized
acc,target,protein,4,4.00,exploratory,4.50,exploratory
neurodegenerative disease,indication,disease,22,56.82,strong,53.04,strong
pyroptosis,pathway,pathway,12,29.86,strong,13.81,exploratory
camp,pathway,pathway,5,10.60,strong,5.20,exploratory
ion channel,target,protein,2,2.10,stalled,3.60,stalled
co-culture,model,unknown,25,59.01,strong,29.10,exploratory
half-life,assay,metric,3,7.50,promising,1.50,deprioritized
spectroscopy,assay,assay,2,6.20,promising,1.30,deprioritized
filtration,assay,assay,1,2.00,stalled,0.50,deprioritized
culture medium,model,unknown,10,24.18,strong,12.19,promising
conditioned medium,model,unknown,9,23.18,strong,11.20,promising
beta-catenin,pathway,pathway,1,4.00,exploratory,2.00,stalled
il1b,target,protein,3,3.42,stalled,4.09,exploratory
ifng,target,protein,3,3.00,stalled,3.67,stalled
normal tissue,model,unknown,2,5.88,exploratory,2.44,stalled
concentration-response,assay,metric,1,-0.80,deprioritized,0.80,deprioritized
medscape,peptide,,1,1.60,deprioritized,1.60,deprioritized
β-catenin,pathway,pathway,7,20.22,strong,9.83,promising
confocal microscopy,assay,assay,6,14.00,strong,3.00,stalled
neurobasal,model,unknown,3,7.20,promising,4.93,exploratory
proteinase,target,protein,2,2.70,stalled,2.70,stalled
bone marrow,model,unknown,25,57.44,strong,29.12,exploratory
microfluidic,model,unknown,7,18.55,strong,8.63,promising
paraffin-embedded,model,unknown,1,2.00,stalled,1.00,deprioritized
piercetm,peptide,,1,1.00,deprioritized,1.00,deprioritized
qimaging,peptide,,1,1.00,deprioritized,1.00,deprioritized
cyanagen,peptide,,1,1.00,deprioritized,1.00,deprioritized
scid,model,unknown,11,26.11,strong,12.28,exploratory
pyramidal neuron,neural_cell,cell_type,1,1.00,deprioritized,1.00,deprioritized
inthemiddle,peptide,,1,1.00,deprioritized,1.00,deprioritized
bcl2,target,protein,1,1.00,deprioritized,1.00,deprioritized
mmp2,target,protein,1,1.75,deprioritized,0.25,deprioritized
mmp9,target,protein,2,3.50,stalled,2.00,stalled
thrombin,target,protein,1,1.75,deprioritized,0.25,deprioritized
robustness,assay,assay,1,2.50,stalled,0.50,deprioritized
trypsin,target,protein,3,3.42,stalled,4.42,exploratory
mtt assay,assay,assay,1,2.00,stalled,-0.50,deprioritized
applichem,peptide,,1,1.50,deprioritized,0.00,deprioritized
culture media,model,unknown,12,30.72,strong,15.03,promising
scratch assay,assay,assay,1,2.00,stalled,-0.50,deprioritized
internet,peptide,,1,1.00,deprioritized,1.00,deprioritized
signal-to-noise ratio,assay,assay,5,10.00,strong,2.50,stalled
calibration,assay,assay,1,2.00,stalled,0.50,deprioritized
adam17,target,protein,1,1.00,deprioritized,1.00,deprioritized
auc,assay,metric,2,5.00,exploratory,2.00,stalled
pipeline,peptide,,1,1.00,deprioritized,1.00,deprioritized
radioligand binding,assay,assay,2,4.60,exploratory,0.40,deprioritized
chip-seq,assay,assay,6,14.00,strong,3.17,stalled
membrane fusion,pathway,pathway,1,3.20,stalled,1.60,deprioritized
protein degradation,pathway,pathway,2,5.00,exploratory,2.00,stalled
ddaytimesleep,peptide,,1,1.00,deprioritized,1.50,deprioritized
gehealthcare,peptide,,2,2.00,stalled,2.00,stalled
perkinelmer,peptide,,1,1.00,deprioritized,1.00,deprioritized
neurotransmitter signaling,pathway,pathway,1,2.00,stalled,1.00,deprioritized
vesicle transport,pathway,pathway,1,2.50,stalled,1.00,deprioritized
hedgehog,pathway,pathway,2,5.00,exploratory,1.50,deprioritized
metastasis,pathway,pathway,2,4.00,exploratory,2.00,stalled
nk cells,model,unknown,8,18.43,strong,9.53,exploratory
temsirolimus,compound,drug,1,1.80,deprioritized,1.60,deprioritized
sox2,target,protein,44,52.90,promising,52.47,exploratory
ovarian cancer,indication,disease,1,3.20,stalled,3.20,stalled
hydrogel,model,unknown,10,24.00,strong,12.00,promising
f12,model,cell_line,4,8.80,strong,5.90,exploratory
lysate,model,unknown,1,1.10,deprioritized,0.55,deprioritized
dia,assay,assay,1,2.50,stalled,-0.50,deprioritized
lc-ms,assay,assay,4,11.07,strong,2.77,stalled
organoids,model,3d_model,180,393.40,strong,196.25,exploratory
3d culture,model,cell_line,4,10.70,strong,4.10,exploratory
matrigel,peptide,,1,1.50,deprioritized,1.00,deprioritized
wound healing,indication,disease,14,34.41,strong,33.91,strong
fibrosis,indication,disease,4,10.88,strong,9.88,strong
rheumatoid arthritis,indication,disease,2,6.20,promising,5.20,exploratory
nsg,model,unknown,18,46.11,strong,22.78,promising
hsc,model,unknown,14,31.99,strong,16.07,exploratory
dehydrogenase,target,protein,1,1.50,deprioritized,1.00,deprioritized
quantitation,assay,assay,2,5.20,exploratory,1.30,deprioritized
xenograft,model,unknown,6,14.29,strong,7.39,promising
cryopreserved,model,unknown,3,7.95,promising,3.97,stalled
