entity_type,entity_name,entity_variant,role,event_count,paper_count,original_variants,domain_id,domain_name,overlay_id,first_seen,last_seen
target,ATF6,protein,primary,2,1,ATF6,,All Domains,,2026-01-23T13:55:10Z,2026-01-24T16:33:26Z
indication,hypertension,disease,primary,2,2,hypertension,,All Domains,,2026-01-23T12:34:17Z,2026-01-23T12:46:37Z
neural_cell,Purkinje cell,cell_type,primary,2,2,Purkinje cell,,All Domains,,2026-01-23T12:34:38Z,2026-01-23T12:36:43Z
target,HSP70,protein,primary,2,2,HSP70,,All Domains,,2026-01-23T12:36:13Z,2026-01-23T12:44:46Z
target,RENIN,protein,primary,2,1,RENIN,,All Domains,,2026-01-23T13:52:49Z,2026-01-24T16:32:27Z
model,Cardiomyocytes,unknown,primary,2,2,Cardiomyocytes,,All Domains,,2026-01-23T12:30:16Z,2026-01-23T13:57:27Z
model,MDCK,unknown,primary,2,1,MDCK,,All Domains,,2026-01-23T13:58:11Z,2026-01-23T13:58:11Z
pathway,angiogenesis,pathway,primary,2,2,angiogenesis,,All Domains,,2026-01-23T12:22:49Z,2026-01-23T12:45:09Z
pathway,PKC,pathway,primary,2,2,PKC,,All Domains,,2026-01-23T12:36:23Z,2026-01-24T16:33:25Z
assay,recovery,assay,primary,2,2,recovery,,All Domains,,2026-01-23T12:42:32Z,2026-01-23T12:49:03Z
target,IGF1R,protein,primary,2,1,IGF1R,,All Domains,,2026-01-23T13:55:08Z,2026-01-24T16:33:25Z
target,CASP1,protein,primary,2,1,CASP1,,All Domains,,2026-01-23T12:30:47Z,2026-01-23T12:30:48Z
model,Serum-free medium,cell_line,primary,2,1,Serum-free medium,,All Domains,,2026-01-23T12:33:38Z,2026-01-23T12:33:38Z
model,Paraffin-embedded,cell_line,primary,2,1,Paraffin-embedded,,All Domains,,2026-01-23T12:45:18Z,2026-01-23T12:45:18Z
pathway,PROTEOLYSIS,pathway,primary,1,1,proteolysis,,All Domains,,2026-01-23T12:39:05Z,2026-01-23T12:39:05Z
peptide,ALICAPISTAT,,primary,1,1,ALICAPISTAT,,All Domains,,2026-01-23T12:23:21Z,2026-01-23T12:23:21Z
